"Gemeentenaam","% autobezitters met stekkerauto (%)"
"Aa en Hunze","1,93"
"Aalsmeer","2,36"
"Aalten","1,05"
"Achtkarspelen","1,10"
"Alblasserdam","1,28"
"Albrandswaard","2,53"
"Alkmaar","1,70"
"Almelo","1,18"
"Almere","2,17"
"Alphen aan den Rijn","1,83"
"Alphen-Chaam","1,86"
"Altena","1,61"
"Ameland","2,04"
"Amersfoort","1,93"
"Amstelveen","2,82"
"Amsterdam","2,18"
"Apeldoorn","1,70"
"Appingedam","1,02"
"Arnhem","1,59"
"Assen","1,23"
"Asten","1,37"
"Baarle-Nassau","0,99"
"Baarn","2,34"
"Barendrecht","2,40"
"Barneveld","1,65"
"Beek (L.)","1,61"
"Beekdaelen","1,42"
"Beemster","3,17"
"Beesel","1,20"
"Berg en Dal","1,76"
"Bergeijk","1,54"
"Bergen (L.)","1,16"
"Bergen (NH.)","2,86"
"Bergen op Zoom","1,30"
"Berkelland","1,45"
"Bernheze","1,95"
"Best","1,94"
"Beuningen","1,78"
"Beverwijk","1,42"
"Bladel","1,52"
"Blaricum","4,51"
"Bloemendaal","4,25"
"Bodegraven-Reeuwijk","2,52"
"Boekel","1,53"
"Borger-Odoorn","1,65"
"Borne","1,46"
"Borsele","1,68"
"Boxmeer","1,61"
"Boxtel","1,59"
"Breda","1,74"
"Brielle","1,70"
"Bronckhorst","1,78"
"Brummen","1,87"
"Brunssum","0,81"
"Bunnik","2,59"
"Bunschoten","2,01"
"Buren","2,20"
"Capelle aan den IJssel","1,57"
"Castricum","2,26"
"Coevorden","1,41"
"Cranendonck","1,23"
"Cuijk","1,65"
"Culemborg","1,88"
"Dalfsen","1,61"
"Dantumadiel","1,17"
"De Bilt","2,76"
"De Fryske Marren","1,79"
"De Ronde Venen","2,70"
"De Wolden","1,70"
"Delft","1,40"
"Delfzijl","0,88"
"Den Helder","0,84"
"Deurne","1,27"
"Deventer","1,32"
"Diemen","1,98"
"Dinkelland","1,46"
"Doesburg","1,02"
"Doetinchem","1,42"
"Dongen","1,40"
"Dordrecht","1,31"
"Drechterland","2,11"
"Drimmelen","1,48"
"Dronten","2,06"
"Druten","1,98"
"Duiven","1,90"
"Echt-Susteren","1,33"
"Edam-Volendam","2,05"
"Ede","1,84"
"Eemnes","1,87"
"Eersel","1,89"
"Eijsden-Margraten","1,33"
"Eindhoven","1,52"
"Elburg","1,40"
"Emmen","1,23"
"Enkhuizen","1,34"
"Enschede","1,05"
"Epe","1,63"
"Ermelo","2,07"
"Etten-Leur","1,49"
"Geertruidenberg","1,39"
"Geldrop-Mierlo","1,63"
"Gemert-Bakel","1,46"
"Gennep","1,46"
"Gilze en Rijen","1,55"
"Goeree-Overflakkee","1,65"
"Goes","1,39"
"Goirle","1,61"
"Gooise Meren","2,77"
"Gorinchem","1,44"
"Gouda","1,30"
"Grave","1,45"
"Groningen (gemeente)","1,52"
"Gulpen-Wittem","1,51"
"Haaksbergen","1,24"
"Haaren","2,20"
"Haarlem","1,71"
"Haarlemmermeer","2,32"
"Halderberge","1,44"
"Hardenberg","1,44"
"Harderwijk","1,62"
"Hardinxveld-Giessendam","1,39"
"Harlingen","1,06"
"Hattem","2,18"
"Heemskerk","1,54"
"Heemstede","3,15"
"Heerde","1,97"
"Heerenveen","1,70"
"Heerhugowaard","1,85"
"Heerlen","0,70"
"Heeze-Leende","1,73"
"Heiloo","2,52"
"Hellendoorn","1,52"
"Hellevoetsluis","1,38"
"Helmond","1,38"
"Hendrik-Ido-Ambacht","1,82"
"Hengelo (O.)","1,31"
"Het Hogeland","1,19"
"Heumen","1,83"
"Heusden","1,78"
"Hillegom","1,50"
"Hilvarenbeek","1,92"
"Hilversum","1,98"
"Hoeksche Waard","1,83"
"Hof van Twente","1,50"
"Hollands Kroon","1,75"
"Hoogeveen","0,92"
"Hoorn","1,76"
"Horst aan de Maas","1,46"
"Houten","2,29"
"Huizen","2,23"
"Hulst","1,15"
"IJsselstein","1,78"
"Kaag en Braassem","2,28"
"Kampen","1,35"
"Kapelle","1,83"
